Rank,ID,"Last Name","First Name",Position,Team,Points,VBD,"Bye Week"
185,14778,"Tagovailoa","Tua",QB,MIA,264.3,112.3,11
186,13622,"Hines","Nyheim",RB,IND,85.8,111.8,14
187,15261,"Hubbard","Chuba",RB,CAR,85.7,111.7,13
188,13157,"Samuel","Curtis",WR,WAS,58.8,111.5,14
189,13354,"Butker","Harrison",K,KCC,143.5,111.4,8
190,529,"Saints","New Orleans",D,NOS,126.8,111.3,14
191,13066,"Raymond","Kalif",WR,DET,57.7,110.5,6
192,14337,"Guyton","Jalen",WR,LAC,57.7,110.4,8
193,13793,"Valdes-Scantling","Marquez",WR,KCC,57.5,110.2,8
194,14081,"Gaskin","Myles",RB,MIA,83.7,110.2,11
195,13871,"Hilliard","Dontrell",RB,TEN,83.2,109.8,6
196,14983,"Bass","Tyler",K,BUF,141.8,109.6,7
197,530,"49ers","San Francisco",D,SFO,125.2,109.5,9
198,14867,"Kmet","Cole",TE,CHI,66.7,109.4,14
199,525,"Buccaneers","Tampa Bay",D,TBB,125.1,109.3,11
200,14095,"Johnson","Ty",RB,NYJ,82.4,109.2,10
201,506,"Bengals","Cincinnati",D,CIN,124.4,108.6,10
202,528,"Rams","Los Angeles",D,LAR,123.2,107.2,7
203,13607,"Michel","Sony",RB,LAC,79.2,106.8,8
204,14850,"Cephus","Quintez",WR,DET,53.0,106.2,6
205,12677,"Hooper","Austin",TE,TEN,63.2,106.0,6
206,13189,"Engram","Evan",TE,JAC,63.1,105.9,11
207,12317,"Uzomah","C.J.",TE,NYJ,63.1,105.8,10
208,14122,"Slayton","Darius",WR,NYG,52.0,105.2,9
209,10276,"Ingram","Mark",RB,NOS,76.9,105.1,14
210,13403,"Koo","Younghoe",K,ATL,137.8,105.1,14
211,14592,"Zaccheaus","Olamide",WR,ATL,51.1,104.4,14
212,15330,"Jordan","Brevin",TE,HOU,60.7,103.4,6
213,14837,"Hamler","KJ",WR,DEN,49.7,103.1,9
214,508,"Titans","Tennessee",D,TEN,118.9,102.6,6
215,523,"Packers","Green Bay",D,GBP,118.4,102.0,14
216,15714,"White","Zamir",RB,LVR,72.7,102.0,6
217,9686,"Succop","Ryan",K,TBB,134.9,101.9,11
218,15721,"White","Rachaad",RB,TBB,72.3,101.7,11
219,14912,"Blankenship","Rodrigo",K,IND,134.3,101.2,14
220,13895,"Sims","Cam",WR,WAS,47.5,101.1,14
221,13289,"Hollins","Mack",WR,LVR,47.1,100.7,6
222,14870,"Trautman","Adam",TE,NOS,58.0,100.7,14
223,10976,"Tucker","Justin",K,BAL,133.7,100.6,10
224,8851,"Folk","Nick",K,NEP,133.7,100.6,10
225,13680,"Hurst","Hayden",TE,CIN,57.0,99.8,10
226,502,"Colts","Indianapolis",D,IND,115.9,99.3,14
227,15754,"Olave","Chris",WR,NOS,45.0,98.8,14
228,13832,"Sanders","Jason",K,MIA,132.0,98.7,11
229,15768,"Pierce","Alec",WR,IND,44.9,98.7,14
230,501,"Bills","Buffalo",D,BUF,115.2,98.5,7
231,13246,"Alie-Cox","Mo",TE,IND,55.3,98.1,14
232,14130,"Wesley","Antoine",WR,ARI,44.1,97.9,13
233,12181,"Agholor","Nelson",WR,NEP,43.8,97.7,10
234,12184,"Crowder","Jamison",WR,BUF,41.9,96.0,7
235,14807,"Kelley","Joshua",RB,LAC,64.4,95.8,8
236,15753,"Wilson","Garrett",WR,NYJ,41.6,95.7,10
237,13308,"Agnew","Jamal",WR,JAC,41.3,95.4,11
238,12773,"Moore","Chris",WR,HOU,40.6,94.8,6
239,11936,"Boswell","Chris",K,PIT,128.3,94.7,9
240,14239,"Moreau","Foster",TE,LVR,51.3,94.2,6
241,512,"Chiefs","Kansas City",D,KCC,110.9,93.7,8
242,8930,"Prater","Matt",K,ARI,127.2,93.5,13
243,13172,"Brown","Noah",WR,DAL,39.1,93.4,9
244,15715,"Cook","James",RB,BUF,61.2,93.3,7
245,13675,"Conklin","Tyler",TE,NYJ,50.3,93.1,10
246,13378,"Breida","Matt",RB,NYG,60.9,93.1,9
247,14331,"Johnson","D'Ernest",RB,CLE,60.1,92.5,9
248,11387,"Hopkins","Dustin",K,LAC,126.2,92.4,8
249,13133,"Perine","Samaje",RB,CIN,59.5,92.1,10
250,14875,"Bryant","Harrison",TE,CLE,49.2,92.0,9
251,11947,"McManus","Brandon",K,DEN,125.4,91.5,9
252,15755,"Dotson","Jahan",WR,WAS,36.2,90.8,14
253,520,"Commanders","Washington",D,WAS,108.1,90.7,14
254,14848,"Proche","James",WR,BAL,35.9,90.5,10
255,15302,"Eskridge","D'Wayne",WR,SEA,35.8,90.4,11
256,15271,"Herbert","Khalil",RB,CHI,56.8,90.1,14
257,15711,"Walker III","Kenneth",RB,SEA,56.6,89.9,11
258,14798,"Moss","Zack",RB,BUF,56.0,89.4,7
259,13898,"Joseph","Greg",K,MIN,123.4,89.4,7
260,518,"Eagles","Philadelphia",D,PHI,106.6,89.0,7
261,507,"Browns","Cleveland",D,CLE,106.5,89.0,9
262,15759,"Metchie","John",WR,HOU,34.1,88.9,6
263,13850,"Edwards","Gus",RB,BAL,55.1,88.8,10
264,11399,"Griffin","Ryan",TE,CHI,45.9,88.8,14
265,521,"Bears","Chicago",D,CHI,105.1,87.4,14
266,14838,"Shenault","Laviska",WR,CAR,32.4,87.3,13
267,504,"Patriots","New England",D,NEP,104.9,87.2,10
268,10271,"Jones","Julio",WR,TBB,32.1,87.0,11
269,8153,"Gould","Robbie",K,SFO,121.2,86.9,9
270,15756,"Williams","Jameson",WR,DET,31.5,86.4,6
271,12630,"Drake","Kenyan",RB,BAL,52.0,86.4,10
272,15308,"Marshall","Terrace",WR,CAR,30.7,85.7,13
273,514,"Chargers","Los Angeles",D,LAC,102.9,85.0,8
274,15758,"Bell","David",WR,CLE,29.3,84.4,9
275,12197,"Perriman","Breshad",WR,TBB,29.1,84.2,11
276,13193,"Smith","Jonnu",TE,NEP,41.0,83.9,10
277,14341,"Parham","Donald",TE,LAC,40.8,83.7,8
278,12394,"Carter","DeAndre",WR,LAC,28.1,83.3,8
279,12378,"Swaim","Geoff",TE,TEN,40.3,83.2,6
280,13488,"Pascal","Zach",WR,PHI,27.3,82.6,7
281,11945,"Santos","Cairo",K,CHI,117.2,82.5,14
282,13676,"Smythe","Durham",TE,MIA,38.3,81.3,11
283,15766,"Moore","Skyy",WR,KCC,25.6,81.1,8
284,14083,"Homer","Travis",RB,SEA,44.4,80.7,11
285,13631,"Washington","James",WR,DAL,24.7,80.2,9
286,12956,"Lutz","Wil",K,NOS,115.1,80.1,14
287,14600,"Slye","Joey",K,WAS,114.9,80.0,14
